SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;;SPECTRUM - MS;
Mix_naringinin_min1.raw;;Mix_naringinin_min30.raw;;Mix_naringinin_min60.raw;;Mix_naringinin_min90.raw;;Mix_naringinin_min120.raw;;Mix_naringinin_min150.raw;;Mix_naringinin_min180.raw;;Mix_naringinin_min210.raw;;Mix_naringinin_min240.raw;;Mix_naringinin_min270.raw;;Mix_naringinin_min300.raw;;Mix_naringinin_min330.raw;;Mix_naringinin_min360.raw;;Mix_naringinin_min390.raw;;Mix_naringinin_min420.raw;;Mix_naringinin_min450.raw;;Mix_naringinin_min480.raw;;Mix_naringinin_min510.raw;;Mix_naringinin_min540.raw;;Mix_naringinin_min570.raw;;Mix_naringinin_min600.raw;;Mix_naringinin_min630.raw;;Mix_naringinin_min660.raw;;Mix_naringinin_min690.raw;;Mix_naringinin_min720.raw;;Mix_naringinin_min750.raw;;Mix_naringinin_21hours.raw;
FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];;FTMS - c ESI Full ms [100.0000-1000.0000];
Scan #: 1-14305;;Scan #: 1-14316;;Scan #: 1-14316;;Scan #: 1-14316;;Scan #: 1-14316;;Scan #: 1-14305;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14316;;Scan #: 1-14316;;Scan #: 1-14316;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14316;;Scan #: 1-14304;;Scan #: 1-14316;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14304;;Scan #: 1-14305;;Scan #: 1-14304;
RT: 0.01-28.00;;RT: 0.01-28.02;;RT: 0.01-28.01;;RT: 0.01-28.02;;RT: 0.01-28.02;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.01;;RT: 0.01-28.02;;RT: 0.01-28.01;;RT: 0.01-28.01;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.02;;RT: 0.01-28.00;;RT: 0.01-28.02;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.01;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.00;;RT: 0.01-28.01;;RT: 0.01-28.00;;RT: 0.01-28.00;
AV: 1193;;AV: 1193;;AV: 1193;;AV: 1193;;AV: 1193;;AV: 1193;;AV: 1192;;AV: 1192;;AV: 1193;;AV: 1193;;AV: 1193;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1193;;AV: 1192;;AV: 1193;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1192;;AV: 1193;;AV: 1192;
Data points: 34672;;Data points: 36839;;Data points: 36708;;Data points: 36855;;Data points: 35456;;Data points: 36134;;Data points: 36543;;Data points: 36618;;Data points: 37006;;Data points: 36772;;Data points: 37014;;Data points: 36901;;Data points: 36966;;Data points: 36145;;Data points: 36905;;Data points: 36985;;Data points: 36982;;Data points: 36677;;Data points: 36910;;Data points: 37414;;Data points: 37611;;Data points: 37590;;Data points: 37295;;Data points: 37012;;Data points: 37549;;Data points: 37265;;Data points: 37677;
Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity;Mass;Intensity
100.002836;3.310043;100.001114;1.523169;100.004070;276.727358;100.004063;389.369181;100.002029;1.704055;100.004057;389.102914;100.004074;433.253776;100.001007;1.675859;100.001648;1.515940;100.004063;629.566124;100.004062;774.627514;100.002136;1.398399;100.004065;454.207397;100.001695;5.549081;100.004072;368.956495;100.001022;1.833129;100.004057;268.945816;100.000717;3.129465;100.001251;1.436285;100.004051;403.347280;100.004044;450.792256;100.004044;493.349453;100.004041;435.929350;100.001961;1.616714;100.002602;1.773953;100.004046;449.532898;100.002220;1.838871
100.004090;189.134328;100.004074;201.061433;100.005585;5.353496;100.007301;1.814076;100.004063;373.206767;100.006263;4.987138;100.007149;1.851637;100.004059;715.051413;100.004063;670.918972;100.008339;1.579000;100.006081;1.653769;100.004055;509.501334;100.004547;1.749822;100.004055;76.652571;100.008457;3.482168;100.004067;425.132469;100.007553;1.613506;100.003258;1.476264;100.004062;347.627391;100.005569;1.714152;100.006470;1.960218;100.008373;3.568272;100.007683;1.866330;100.004045;270.998013;100.004053;439.591465;100.007805;1.512183;100.004049;525.387634
100.012779;1.591483;100.006546;1.853292;100.007858;1.727207;100.008377;1.744800;100.006508;3.564353;100.007088;1.671031;100.018265;1.367605;100.005913;1.645114;100.005234;1.788033;100.009674;1.733846;100.007278;1.548918;100.007498;3.254351;100.006210;1.658181;100.006699;1.498085;100.013855;1.776142;100.006310;1.959068;100.008809;4.739805;100.004063;258.794285;100.006424;1.608805;100.007240;1.539489;100.007996;1.958272;100.008983;3.305770;100.008682;1.766597;100.005775;1.755631;100.009346;1.476538;100.008980;1.294526;100.006653;1.789831
100.014516;3.785716;100.016024;3.585250;100.008965;1.970103;100.010498;1.651028;100.013916;1.599109;100.013695;1.712301;100.020630;1.506818;100.007988;1.496373;100.006210;1.661997;100.016785;1.730076;100.008553;1.667755;100.008952;4.968155;100.012360;1.607744;100.012566;1.649412;100.014442;1.513608;100.011749;2.102774;100.009468;1.566214;100.007164;1.531478;100.007156;1.612223;100.009285;1.871952;100.008766;1.753758;100.011772;1.581121;100.009369;1.570973;100.007309;2.084813;100.011141;3.726613;100.009584;3.316889;100.008003;1.652003
100.015472;1.552996;100.017122;4.781140;100.012138;1.842077;100.012119;6.597475;100.016975;1.497741;100.016472;1.704763;100.023541;9.173941;100.011841;1.989528;100.007596;3.921491;100.020264;1.711740;100.011523;4.031244;100.010536;1.463536;100.019485;1.825322;100.014984;1.563120;100.018013;1.571104;100.015457;3.311062;100.014168;1.583291;100.008609;4.981975;100.009235;4.086231;100.019302;1.394613;100.009277;2.137751;100.016190;1.462360;100.017258;1.804567;100.008080;1.958283;100.012817;1.529243;100.012787;1.522079;100.008714;3.318098
100.017052;1.804399;100.017982;1.874277;100.012787;1.618996;100.018051;1.742469;100.021355;1.464847;100.017250;1.663589;100.025543;1.742791;100.012888;3.733568;100.013985;1.535566;100.021057;1.589491;100.012260;1.506222;100.011269;5.765418;100.020432;1.625005;100.016841;2.868207;100.020134;1.790605;100.023486;35.069805;100.019150;1.930833;100.009628;1.580535;100.010605;1.812993;100.023328;21.935234;100.012894;1.670217;100.018158;1.922948;100.022430;1.621793;100.011995;3.601444;100.023444;24.505198;100.017326;1.521341;100.022713;1.595175
100.022331;2.577681;100.023308;1.734802;100.013939;1.600953;100.019775;2.313260;100.023469;9.911954;100.019173;1.807843;100.026596;1.931299;100.017197;1.720452;100.015312;1.774759;100.023477;27.696052;100.015808;2.380266;100.015274;2.167062;100.023349;40.643626;100.019608;1.765530;100.023439;22.395402;100.033615;1.565785;100.023418;29.418845;100.010413;3.306098;100.011589;1.682399;100.026701;6.023917;100.022961;3.536733;100.019730;1.665890;100.023365;25.474926;100.012787;1.667347;100.029129;2.234629;100.020615;1.570850;100.023403;47.560076
100.023470;6.962171;100.024437;12.427622;100.014671;1.615345;100.023481;16.540600;100.026306;18.177553;100.020935;4.869832;100.027084;1.435763;100.018517;1.539472;100.015907;1.581270;100.025635;1.587052;100.016542;3.612517;100.016472;2.038330;100.024994;1.633379;100.023239;4.862493;100.031403;1.525666;100.034195;1.756052;100.029465;1.566568;100.017311;1.835924;100.012802;1.993941;100.027924;2.004712;100.023452;27.806493;100.022415;3.319163;100.024513;1.752919;100.015327;1.487483;100.030777;6.737179;100.023425;14.356440;100.025215;1.745779
100.028450;1.586115;100.027313;1.820883;100.015999;1.840634;100.025345;1.553015;100.029129;1.830297;100.023407;3.303140;100.029042;5.377912;100.019638;1.674150;100.017166;1.845224;100.040457;712.424981;100.017052;2.557405;100.017258;1.581058;100.028473;1.582950;100.024033;1.657022;100.032249;1.615531;100.036201;4.314679;100.034035;1.695187;100.018044;1.473072;100.017105;1.824723;100.028954;1.795708;100.025124;1.785216;100.023336;26.593499;100.026719;3.296426;100.016624;1.657859;100.034698;1.634018;100.025772;1.684265;100.027206;2.237914
100.029007;2.041236;100.030693;1.807549;100.020485;1.655690;100.026306;1.489016;100.032974;1.434014;100.024155;1.472782;100.031082;1.765910;100.022247;1.552852;100.018051;1.615007;100.042160;1.611538;100.018204;1.805408;100.020134;1.597006;100.030922;1.618980;100.026765;3.059454;100.035622;2.077246;100.038727;1.723465;100.035973;2.384825;100.019890;1.858354;100.018448;1.475239;100.032043;1.717168;100.025963;1.553409;100.026390;1.612138;100.028328;1.431759;100.021057;1.828298;100.038040;1.743611;100.027046;1.493644;100.029282;1.630476
100.034485;1.809776;100.032364;1.606470;100.023332;12.673963;100.030006;1.997647;100.034386;1.629327;100.027016;1.856559;100.032265;1.477401;100.023468;20.892508;100.018768;1.474404;100.047501;1.655360;100.019714;1.406621;100.021370;1.602572;100.036934;1.590945;100.027664;1.479478;100.037591;3.636754;100.040452;709.388781;100.040448;685.032716;100.023454;14.886545;100.019531;1.841369;100.033371;1.745427;100.030701;2.168214;100.031685;1.524089;100.037865;1.594141;100.023434;14.406190;100.040436;566.385905;100.037216;1.511481;100.031166;1.753290
100.038243;4.091750;100.040464;690.711091;100.024590;1.473561;100.030975;1.664137;100.035225;1.655657;100.028633;1.666099;100.033130;3.248053;100.026031;1.500189;100.023386;22.389769;100.048584;1.666902;100.023402;24.318533;100.023443;13.018891;100.040444;738.149533;100.030800;20.638223;100.040458;762.401844;100.042847;1.775132;100.042145;1.596061;100.026854;3.315604;100.023356;29.155418;100.040447;590.916681;100.035378;1.602895;100.038040;1.570275;100.040447;540.468728;100.024834;1.499795;100.042473;1.678834;100.040445;566.176138;100.031662;1.477094
100.040471;622.865361;100.043304;1.997046;100.026955;1.660805;100.031631;2.113186;100.037643;1.591977;100.029465;1.594756;100.040463;745.400511;100.029228;1.981219;100.032753;1.696146;100.053101;1.623663;100.031754;1.546326;100.024879;3.521859;100.041336;1.543070;100.033257;1.871280;100.042992;1.441512;100.043709;1.583932;100.044273;1.551047;100.034302;1.819672;100.023842;1.349199;100.042900;1.445342;100.036377;1.452717;100.038696;1.947009;100.049820;1.867412;100.031105;1.568230;100.048309;1.437703;100.042946;1.453698;100.036613;1.989267
100.059196;1.624157;100.049438;1.766863;100.028076;1.583335;100.034988;1.504663;100.040452;779.282156;100.030586;1.386314;100.042152;1.665143;100.031211;3.135219;100.033577;2.020574;100.056528;2.902767;100.032280;1.706638;100.025444;3.166263;100.042671;2.305853;100.040452;649.087875;100.043861;1.840807;100.044144;1.654414;100.047920;1.634204;100.035454;1.554777;100.025856;1.773854;100.044647;1.612576;100.038582;1.829395;100.040459;592.688860;100.052582;2.278654;100.035551;2.904614;100.061455;1.539036;100.047386;1.699489;100.038788;1.793725
100.066874;3.613034;100.050507;1.566823;100.031052;1.620149;100.037804;1.626689;100.042130;1.688101;100.031952;1.573973;100.046265;1.721123;100.031960;1.578197;100.034889;1.573405;100.059875;1.585686;100.034286;1.879071;100.029999;1.760585;100.052696;1.607851;100.044716;1.980066;100.046097;1.746566;100.046913;1.819252;100.048866;1.594438;100.040450;706.618721;100.027702;2.033821;100.050667;1.556590;100.040437;611.683275;100.047989;1.555727;100.053314;1.682253;100.040450;568.401915;100.062968;3.094713;100.048523;2.193396;100.040451;445.853961
100.072868;1.432449;100.056145;1.696934;100.031540;1.631618;100.040457;752.979828;100.050507;1.659007;100.035294;1.946536;100.048050;1.868774;100.032738;1.949774;100.040457;727.683026;100.064705;1.605292;100.035683;1.486891;100.035248;1.443307;100.054504;1.634286;100.045906;1.593027;100.048592;1.548623;100.048332;1.662489;100.053207;1.462890;100.043025;3.730230;100.028755;1.774777;100.059860;1.526000;100.043640;1.563561;100.048965;1.640625;100.058731;6.301302;100.045212;1.519541;100.063522;1.486509;100.051076;3.058516;100.043259;1.556195
100.077171;1.767304;100.059372;1.678157;100.033440;1.475873;100.042198;1.557170;100.053566;1.964983;100.035980;1.945871;100.049660;1.735972;100.033699;1.466233;100.040947;2.556342;100.067711;1.763489;100.037170;1.430686;100.036728;1.531013;100.068405;1.552809;100.047272;1.494755;100.049352;18.229664;100.055748;1.842691;100.053802;1.517924;100.047295;1.565704;100.030548;1.360590;100.061073;1.407729;100.044243;1.504113;100.050331;1.555581;100.064560;1.565457;100.053490;1.821192;100.064674;1.565849;100.053101;1.573869;100.047562;1.523294
100.080940;1.629987;100.060585;1.589186;100.035820;1.465664;100.042984;1.528128;100.066170;1.446598;100.040451;809.322575;100.050697;1.512159;100.040460;732.235294;100.043808;1.411607;100.072479;1.753088;100.040448;718.603602;100.040444;748.735666;100.069664;1.544867;100.053223;1.494421;100.054680;1.862916;100.057299;3.437908;100.057365;1.628211;100.052589;1.824565;100.036583;1.742615;100.062712;2.815641;100.044762;1.590227;100.051987;1.729041;100.065727;1.676144;100.058464;1.501570;100.072426;1.404767;100.062431;1.605278;100.048678;4.519039
100.083130;1.513194;100.067787;1.726432;100.036240;7.539870;100.045670;1.771484;100.070343;1.607964;100.045120;1.551749;100.054855;1.587727;100.042519;1.781845;100.048599;2.006027;100.074000;3.647069;100.042030;1.724241;100.042572;1.466321;100.070351;1.652959;100.061592;1.668943;100.056335;1.555078;100.062561;1.774914;100.059141;3.609245;100.054520;1.658273;100.037148;1.511459;100.068077;1.934759;100.047096;1.892103;100.058800;2.534140;100.068855;1.592442;100.070557;1.722882;100.073730;4.342448;100.075615;1.593866;100.050430;1.476089
